country,country,nevercontri,contribuidores
afghanistan,afghanistan,1,3
albania,albania,1,1
algeria,algeria,1,4
argentina,argentina,19,54
armenia,armenia,3,10
australia,australia,105,364
austria,austria,40,93
bangladesh,bangladesh,1,23
belarus,belarus,16,47
belgium,belgium,19,94
brazil,brazil,80,339
bulgaria,bulgaria,7,37
cabo verde,cabo verde,1,1
cambodia,cambodia,1,1
canada,canada,184,554
chile,chile,6,16
china,china,174,758
colombia,colombia,7,32
costa rica,costa rica,2,5
croatia,croatia,3,24
cuba,cuba,6,33
cyprus,cyprus,2,7
czechia,czechia,10,57
denmark,denmark,26,109
dominican republic,dominican republic,5,15
ecuador,ecuador,1,5
egypt,egypt,2,16
el salvador,el salvador,1,5
estonia,estonia,10,23
finland,finland,30,97
france,france,156,545
georgia,georgia,3,8
germany,germany,285,915
ghana,ghana,2,12
greece,greece,11,49
guatemala,guatemala,1,2
hong kong,hong kong,15,38
hungary,hungary,11,39
iceland,iceland,2,13
india,india,150,696
indonesia,indonesia,13,65
iran,iran,5,39
ireland,ireland,21,74
israel,israel,18,95
italy,italy,27,106
jamaica,jamaica,1,3
japan,japan,148,377
kazakhstan,kazakhstan,1,9
kenya,kenya,8,18
kosovo,kosovo,1,1
latvia,latvia,5,14
liberia,liberia,3,9
liechtenstein,liechtenstein,1,2
lithuania,lithuania,5,18
luxembourg,luxembourg,4,9
macedonia,macedonia,2,5
malaysia,malaysia,5,17
malta,malta,5,22
mexico,mexico,19,53
moldova,moldova,1,6
montenegro,montenegro,1,2
morocco,morocco,1,11
nepal,nepal,4,15
netherlands,netherlands,91,370
new zealand,new zealand,49,157
nicaragua,nicaragua,4,5
nigeria,nigeria,7,26
norfolk island,norfolk island,1,4
norway,norway,23,83
pakistan,pakistan,11,79
panama,panama,7,16
peru,peru,2,9
philippines,philippines,27,100
poland,poland,48,217
portugal,portugal,25,74
romania,romania,18,53
russia,russia,90,325
saudi arabia,saudi arabia,1,7
senegal,senegal,1,2
serbia,serbia,3,16
singapore,singapore,31,79
slovakia,slovakia,2,17
slovenia,slovenia,6,23
south africa,south africa,8,35
south korea,south korea,38,123
spain,spain,35,158
sri lanka,sri lanka,3,17
sweden,sweden,62,197
switzerland,switzerland,47,162
taiwan,taiwan,32,113
thailand,thailand,14,37
turkey,turkey,9,79
uganda,uganda,2,6
ukraine,ukraine,42,152
united arab emirates,united arab emirates,4,16
united kingdom,united kingdom,265,887
united states,united states,1318,4223
uruguay,uruguay,6,29
uzbekistan,uzbekistan,1,4
venezuela,venezuela,6,16
vietnam,vietnam,4,37
